Date,alkalinity,hardness
1/1/2019,89,132
1/1/2020,96,147
1/1/2021,97,138
1/10/2019,91,131
1/10/2020,95,144
1/10/2021,96,137
1/11/2019,91,133
1/11/2020,96,145
1/11/2021,95,141
1/12/2019,86,132
1/12/2020,98,143
1/12/2021,96,139
1/13/2020,96,143
1/14/2019,87,133
1/14/2020,97,144
1/15/2019,88,132
1/15/2020,97,142
1/16/2019,88,131
1/16/2020,96,145
1/17/2019,86,132
1/17/2020,97,143
1/18/2019,88,127
1/18/2020,96,144
1/19/2019,88,142
1/19/2020,96,145
1/2/2019,87,133
1/2/2020,98,143
1/2/2021,98,140
1/20/2019,89,133
1/20/2020,98,147
1/21/2019,88,139
1/21/2020,97,145
1/22/2019,87,141
1/22/2020,98,143
1/23/2019,87,137
1/23/2020,98,144
1/24/2019,89,132
1/24/2020,95,141
1/25/2019,88,133
1/25/2020,97,142
1/26/2019,86,134
1/26/2020,98,148
1/27/2017,89,118
1/27/2019,88,136
1/27/2020,97,144
1/28/2017,86,122
1/28/2019,87,155
1/28/2020,95,143
1/29/2017,89,131
1/29/2019,91,136
1/29/2020,96,142
1/3/2019,89,132
1/3/2020,96,145
1/3/2021,97,141
1/30/2017,86,122
1/30/2019,89,134
1/30/2020,96,143
1/31/2017,88,127
1/31/2019,87,133
1/31/2020,97,145
1/4/2019,89,150
1/4/2020,96,146
1/4/2021,95,139
1/5/2019,92,133
1/5/2020,96,141
1/5/2021,98,153
1/6/2019,91,132
1/6/2020,98,141
1/6/2021,96,138
1/7/2019,88,145
1/7/2020,97,148
1/7/2021,98,137
1/8/2019,90,131
1/8/2020,98,155
1/8/2021,96,136
1/9/2019,92,135
1/9/2020,97,142
1/9/2021,98,148
10/1/2019,98,135
10/1/2020,105,139
10/10/2020,104,142
10/11/2020,102,139
10/12/2020,103,140
10/13/2020,103,142
10/14/2020,106,142
10/15/2018,82,135
10/15/2020,104,144
10/16/2020,106,140
10/17/2018,91,134
10/17/2020,104,141
10/18/2018,90,135
10/18/2019,98,160
10/18/2020,103,143
10/19/2018,90,138
10/19/2019,97,144
10/19/2020,103,141
10/2/2019,97,136
10/2/2020,104,138
10/20/2018,89,136
10/20/2019,99,141
10/20/2020,106,140
10/21/2018,91,136
10/21/2019,99,142
10/21/2020,103,140
10/22/2018,92,140
10/22/2019,99,140
10/22/2020,104,143
10/23/2018,91,128
10/23/2019,100,138
10/23/2020,103,141
10/24/2018,90,136
10/24/2019,90,145
10/24/2020,109,143
10/25/2018,89,136
10/25/2019,98,144
10/25/2020,104,140
10/26/2018,88,138
10/26/2019,98,142
10/26/2020,106,138
10/27/2018,93,136
10/27/2019,100,142
10/27/2020,103,143
10/28/2018,88,138
10/28/2019,99,139
10/28/2020,103,142
10/29/2018,91,135
10/29/2019,99,142
10/29/2020,104,140
10/3/2019,96,136
10/3/2020,103,140
10/30/2018,89,134
10/30/2019,100,142
10/30/2020,105,143
10/31/2018,90,134
10/31/2019,98,146
10/31/2020,102,144
10/4/2019,97,137
10/4/2020,101,141
10/5/2019,99,141
10/5/2020,102,141
10/6/2019,98,141
10/6/2020,101,140
10/7/2019,98,142
10/7/2020,103,139
10/8/2019,97,141
10/8/2020,102,141
10/9/2019,96,137
10/9/2020,105,140
11/1/2018,84,135
11/1/2019,100,140
11/1/2020,103,142
11/10/2018,89,135
11/10/2019,99,147
11/10/2020,102,143
11/11/2018,91,140
11/11/2019,100,151
11/11/2020,103,159
11/12/2018,84,136
11/12/2019,103,145
11/12/2020,104,140
11/13/2018,88,134
11/13/2019,99,149
11/13/2020,102,140
11/14/2018,87,135
11/14/2019,99,146
11/14/2020,102,142
11/15/2018,89,133
11/15/2019,99,144
11/15/2020,105,147
11/16/2018,88,139
11/16/2019,101,144
11/16/2020,102,142
11/17/2018,88,134
11/17/2019,99,143
11/17/2020,102,141
11/18/2018,87,139
11/18/2019,100,143
11/18/2020,103,139
11/19/2018,87,134
11/19/2019,100,145
11/19/2020,103,145
11/2/2018,90,134
11/2/2019,103,149
11/2/2020,104,154
11/20/2018,89,138
11/20/2019,99,148
11/20/2020,102,140
11/21/2018,88,137
11/21/2019,99,145
11/21/2020,104,139
11/22/2018,87,133
11/22/2019,100,144
11/22/2020,101,142
11/23/2018,88,134
11/23/2019,106,147
11/23/2020,101,140
11/24/2018,92,133
11/24/2019,99,146
11/24/2020,100,140
11/25/2018,90,135
11/25/2019,102,142
11/25/2020,99,140
11/26/2018,89,132
11/26/2019,98,143
11/26/2020,101,146
11/27/2018,88,136
11/27/2019,97,143
11/27/2020,98,145
11/28/2018,90,133
11/28/2019,100,141
11/28/2020,101,154
11/29/2018,89,135
11/29/2019,97,139
11/29/2020,104,141
11/3/2018,89,135
11/3/2019,89,143
11/3/2020,107,143
11/30/2018,86,132
11/30/2019,89,144
11/30/2020,99,152
11/4/2018,90,136
11/4/2019,98,145
11/4/2020,106,145
11/5/2018,90,135
11/5/2019,100,142
11/5/2020,103,141
11/6/2018,88,140
11/6/2019,103,143
11/6/2020,103,143
11/7/2018,89,135
11/7/2019,100,144
11/7/2020,104,142
11/8/2018,88,138
11/8/2019,98,150
11/8/2020,105,143
11/9/2018,91,133
11/9/2019,100,148
11/9/2020,104,140
12/1/2018,87,133
12/1/2019,106,144
12/1/2020,101,140
12/10/2018,88,133
12/10/2019,100,146
12/10/2020,100,138
12/11/2018,88,132
12/11/2019,98,142
12/12/2018,87,140
12/12/2019,98,149
12/12/2020,102,140
12/13/2018,89,134
12/13/2019,99,144
12/13/2020,99,142
12/14/2018,87,132
12/14/2019,98,145
12/14/2020,102,139
12/15/2018,87,133
12/15/2019,99,143
12/15/2020,101,137
12/16/2018,88,133
12/16/2019,99,145
12/16/2020,102,143
12/17/2018,85,139
12/17/2019,99,141
12/17/2020,97,142
12/18/2018,88,130
12/18/2019,97,142
12/18/2020,98,139
12/19/2018,86,133
12/19/2019,99,143
12/19/2020,102,139
12/2/2018,89,133
12/2/2019,97,145
12/2/2020,100,137
12/20/2018,90,146
12/20/2019,97,143
12/20/2020,102,142
12/21/2018,87,130
12/21/2019,100,142
12/21/2020,101,136
12/22/2018,90,130
12/22/2019,98,141
12/22/2020,98,138
12/23/2018,87,133
12/23/2019,99,141
12/23/2020,101,142
12/24/2018,90,133
12/24/2019,97,145
12/24/2020,101,137
12/25/2018,87,134
12/25/2019,98,150
12/25/2020,98,143
12/26/2018,87,132
12/26/2019,97,154
12/26/2020,100,140
12/27/2018,88,136
12/27/2019,96,141
12/27/2020,95,136
12/28/2018,89,132
12/28/2019,98,143
12/28/2020,96,138
12/29/2018,88,133
12/29/2019,98,143
12/29/2020,98,139
12/3/2018,88,133
12/3/2019,98,142
12/3/2020,99,138
12/30/2018,88,133
12/30/2019,98,143
12/30/2020,97,138
12/31/2018,89,131
12/31/2019,97,142
12/31/2020,97,141
12/4/2018,92,138
12/4/2019,94,143
12/4/2020,101,141
12/5/2018,84,135
12/5/2019,99,148
12/5/2020,101,140
12/6/2018,88,132
12/6/2019,100,141
12/6/2020,100,141
12/7/2018,87,133
12/7/2019,98,141
12/7/2020,100,139
12/8/2018,88,133
12/8/2019,96,147
12/8/2020,100,143
12/9/2018,87,134
12/9/2019,98,142
12/9/2020,98,148
2/1/2017,89,130
2/1/2019,87,134
2/10/2017,86,122
2/10/2019,87,134
2/10/2020,98,142
2/11/2017,88,123
2/11/2019,88,133
2/11/2020,96,143
2/12/2017,87,122
2/12/2019,90,135
2/12/2020,94,144
2/13/2017,88,120
2/13/2019,88,134
2/13/2020,97,142
2/14/2017,88,118
2/14/2019,87,138
2/14/2020,96,142
2/15/2017,87,121
2/15/2019,88,134
2/15/2020,94,142
2/16/2017,87,121
2/16/2019,89,135
2/16/2020,96,140
2/17/2017,87,123
2/17/2019,90,133
2/17/2020,99,145
2/18/2017,88,122
2/18/2019,91,135
2/18/2020,97,145
2/19/2017,86,123
2/19/2019,90,138
2/19/2020,99,142
2/2/2017,86,123
2/2/2019,89,133
2/2/2020,97,137
2/20/2017,87,136
2/20/2019,87,130
2/20/2020,97,140
2/21/2017,88,120
2/21/2019,89,132
2/21/2020,97,144
2/22/2017,87,122
2/22/2019,89,135
2/22/2020,99,143
2/23/2017,88,118
2/23/2019,88,146
2/23/2020,97,145
2/24/2017,88,120
2/24/2019,88,134
2/24/2020,97,142
2/25/2017,86,120
2/25/2019,86,151
2/25/2020,97,143
2/26/2017,87,124
2/26/2019,86,134
2/26/2020,96,141
2/27/2017,87,121
2/27/2019,88,146
2/27/2020,94,144
2/28/2017,87,120
2/28/2019,89,133
2/28/2020,96,141
2/29/2020,95,144
2/3/2017,85,123
2/3/2019,89,147
2/3/2020,97,140
2/4/2017,88,135
2/4/2019,84,132
2/4/2020,99,142
2/5/2017,89,135
2/5/2019,87,141
2/5/2020,97,141
2/6/2019,90,132
2/6/2020,97,140
2/7/2017,86,124
2/7/2019,90,130
2/7/2020,95,144
2/8/2017,87,122
2/8/2019,89,134
2/8/2020,96,144
2/9/2017,88,121
2/9/2019,88,133
2/9/2020,98,143
3/1/2017,88,122
3/1/2020,97,146
3/10/2017,89,122
3/10/2019,88,139
3/10/2020,96,139
3/11/2017,86,124
3/11/2019,87,135
3/11/2020,92,138
3/12/2017,88,124
3/12/2019,90,139
3/12/2020,96,136
3/13/2017,89,125
3/13/2019,89,131
3/13/2020,95,139
3/14/2017,87,125
3/14/2019,88,133
3/14/2020,94,137
3/15/2017,87,120
3/15/2019,85,132
3/15/2020,94,137
3/16/2017,87,123
3/16/2019,90,133
3/16/2020,94,139
3/17/2017,89,121
3/17/2019,89,134
3/17/2020,94,140
3/18/2017,88,119
3/18/2019,88,132
3/18/2020,94,138
3/19/2017,87,121
3/19/2019,88,139
3/19/2020,97,136
3/2/2017,85,122
3/2/2019,89,132
3/2/2020,94,139
3/20/2017,92,132
3/20/2019,86,134
3/20/2020,93,137
3/21/2017,88,121
3/21/2019,87,134
3/21/2020,94,149
3/22/2017,82,122
3/22/2019,80,139
3/22/2020,93,138
3/23/2017,88,134
3/23/2019,88,133
3/23/2020,93,137
3/24/2017,87,119
3/24/2019,88,133
3/24/2020,95,136
3/25/2017,87,122
3/25/2019,88,139
3/25/2020,94,135
3/26/2017,88,120
3/26/2019,87,133
3/26/2020,94,137
3/27/2017,87,125
3/27/2019,86,133
3/27/2020,94,140
3/28/2017,88,120
3/28/2019,85,137
3/28/2020,93,133
3/29/2017,88,121
3/29/2019,84,140
3/29/2020,94,136
3/3/2017,88,120
3/3/2019,88,134
3/3/2020,98,148
3/30/2017,86,121
3/30/2019,88,136
3/30/2020,92,136
3/31/2017,88,128
3/31/2019,89,140
3/31/2020,94,138
3/4/2017,89,118
3/4/2019,89,133
3/4/2020,96,141
3/5/2017,88,120
3/5/2019,88,133
3/5/2020,97,139
3/6/2017,87,121
3/6/2019,88,149
3/6/2020,95,138
3/7/2017,87,124
3/7/2019,89,132
3/7/2020,96,143
3/8/2017,89,125
3/8/2019,86,138
3/8/2020,96,141
3/9/2017,88,139
3/9/2019,90,133
3/9/2020,97,146
4/1/2017,89,126
4/1/2019,88,138
4/1/2020,94,142
4/10/2017,88,123
4/10/2019,86,130
4/10/2020,95,136
4/11/2017,88,121
4/11/2019,85,134
4/11/2020,93,134
4/12/2017,88,120
4/12/2019,85,132
4/12/2020,94,138
4/13/2017,86,122
4/13/2019,88,133
4/13/2020,94,133
4/14/2017,88,128
4/14/2019,87,133
4/14/2020,95,143
4/15/2017,88,131
4/15/2019,88,132
4/15/2020,94,136
4/16/2017,87,123
4/16/2019,88,131
4/16/2020,93,134
4/17/2017,88,139
4/17/2019,86,132
4/17/2020,95,134
4/18/2017,88,124
4/18/2019,88,130
4/18/2020,92,138
4/19/2017,88,122
4/19/2019,86,135
4/19/2020,95,136
4/2/2017,88,129
4/2/2019,88,131
4/2/2020,94,138
4/20/2017,88,128
4/20/2019,86,131
4/20/2020,93,136
4/21/2017,87,134
4/21/2019,85,136
4/21/2020,94,137
4/22/2017,86,121
4/22/2019,86,131
4/22/2020,95,132
4/23/2017,88,127
4/23/2019,88,129
4/23/2020,95,135
4/24/2017,89,118
4/24/2019,87,132
4/24/2020,94,143
4/25/2017,88,121
4/25/2019,85,130
4/25/2020,93,136
4/26/2017,85,120
4/26/2019,88,133
4/26/2020,93,132
4/27/2017,88,122
4/27/2019,87,131
4/27/2020,96,134
4/28/2017,87,124
4/28/2019,88,134
4/28/2020,95,136
4/29/2017,87,120
4/29/2019,87,130
4/29/2020,92,146
4/3/2017,88,122
4/3/2019,85,138
4/3/2020,92,137
4/30/2017,88,133
4/30/2019,86,132
4/30/2020,94,140
4/4/2017,88,121
4/4/2019,88,137
4/4/2020,95,137
4/5/2017,88,140
4/5/2019,86,132
4/5/2020,91,136
4/6/2017,88,119
4/6/2019,87,132
4/6/2020,94,138
4/7/2017,87,120
4/7/2019,85,133
4/7/2020,92,139
4/8/2017,87,126
4/8/2019,86,135
4/8/2020,96,136
4/9/2017,87,122
4/9/2019,87,134
4/9/2020,94,137
5/1/2017,86,120
5/1/2019,89,130
5/1/2020,95,138
5/10/2017,86,121
5/10/2019,86,131
5/10/2020,92,135
5/11/2017,87,125
5/11/2019,90,130
5/11/2020,96,135
5/12/2017,85,128
5/12/2019,86,132
5/12/2020,94,149
5/13/2017,88,131
5/13/2019,88,132
5/13/2020,94,136
5/14/2017,89,130
5/14/2019,88,132
5/14/2020,96,133
5/15/2017,92,119
5/15/2019,87,131
5/15/2020,93,132
5/16/2017,86,124
5/16/2019,89,132
5/16/2020,92,140
5/17/2017,86,127
5/17/2019,85,133
5/17/2020,95,137
5/18/2017,88,137
5/18/2019,87,131
5/18/2020,93,137
5/19/2017,88,122
5/19/2019,86,132
5/19/2020,96,133
5/2/2017,86,123
5/2/2019,88,131
5/2/2020,94,135
5/20/2017,87,124
5/20/2019,87,136
5/20/2020,96,133
5/21/2017,84,123
5/21/2019,88,133
5/21/2020,94,136
5/22/2017,88,124
5/22/2019,88,132
5/22/2020,95,136
5/23/2017,87,127
5/23/2019,88,132
5/23/2020,96,137
5/24/2019,86,132
5/24/2020,96,133
5/25/2019,89,132
5/25/2020,96,137
5/26/2019,89,131
5/26/2020,94,136
5/27/2019,93,131
5/27/2020,94,145
5/28/2019,90,132
5/28/2020,97,140
5/29/2019,88,130
5/29/2020,94,132
5/3/2017,85,122
5/3/2019,87,132
5/3/2020,93,138
5/30/2019,88,131
5/30/2020,94,136
5/31/2019,86,131
5/4/2017,88,127
5/4/2019,85,132
5/4/2020,94,135
5/5/2017,86,121
5/5/2019,86,130
5/5/2020,113,136
5/6/2017,85,120
5/6/2019,86,131
5/6/2020,93,134
5/7/2017,86,123
5/7/2019,85,132
5/7/2020,92,139
5/8/2017,86,122
5/8/2019,86,129
5/8/2020,94,136
5/9/2017,88,118
5/9/2019,87,131
5/9/2020,93,137
6/1/2019,87,131
6/1/2020,94,136
6/10/2019,90,130
6/10/2020,94,136
6/11/2019,87,130
6/11/2020,97,136
6/12/2019,89,130
6/12/2020,95,133
6/13/2019,90,131
6/13/2020,97,136
6/14/2019,88,128
6/14/2020,94,134
6/15/2019,90,130
6/15/2020,96,134
6/16/2019,89,131
6/16/2020,98,134
6/17/2019,92,129
6/17/2020,95,130
6/18/2019,92,129
6/18/2020,93,134
6/19/2019,87,130
6/19/2020,95,133
6/2/2019,87,132
6/2/2020,96,134
6/20/2019,89,130
6/20/2020,96,135
6/21/2019,87,130
6/21/2020,94,130
6/22/2019,98,131
6/22/2020,97,134
6/23/2019,85,131
6/23/2020,96,134
6/24/2019,91,129
6/24/2020,96,134
6/25/2019,89,132
6/25/2020,96,132
6/26/2019,88,131
6/26/2020,96,131
6/27/2019,91,128
6/27/2020,96,134
6/28/2019,86,130
6/28/2020,94,134
6/29/2019,87,129
6/29/2020,95,134
6/3/2019,87,131
6/3/2020,94,135
6/30/2019,88,129
6/30/2020,97,131
6/4/2019,89,131
6/4/2020,95,136
6/5/2019,87,131
6/5/2020,94,136
6/6/2019,88,132
6/6/2020,94,140
6/7/2019,87,131
6/7/2020,95,135
6/8/2019,93,133
6/8/2020,96,134
6/9/2019,91,131
6/9/2020,94,136
7/1/2018,93,133
7/1/2019,88,130
7/1/2020,93,135
7/10/2019,89,140
7/10/2020,95,136
7/11/2019,89,129
7/11/2020,96,136
7/12/2018,94,134
7/12/2019,87,129
7/12/2020,98,132
7/13/2019,89,131
7/13/2020,95,132
7/14/2019,87,129
7/14/2020,98,134
7/15/2019,97,132
7/15/2020,97,131
7/16/2019,92,130
7/16/2020,96,134
7/17/2019,82,130
7/17/2020,95,134
7/18/2019,90,131
7/18/2020,96,136
7/19/2019,89,132
7/19/2020,99,131
7/2/2019,88,128
7/2/2020,94,135
7/20/2019,88,130
7/20/2020,101,132
7/21/2018,93,133
7/21/2019,90,130
7/21/2020,96,133
7/22/2018,92,132
7/22/2019,89,131
7/22/2020,96,135
7/23/2018,94,135
7/23/2019,89,133
7/23/2020,99,133
7/24/2018,94,136
7/24/2019,89,131
7/24/2020,99,135
7/25/2018,94,134
7/25/2019,89,130
7/25/2020,97,133
7/26/2018,94,135
7/26/2019,88,133
7/26/2020,97,136
7/27/2018,94,135
7/27/2019,88,131
7/27/2020,97,135
7/28/2018,93,136
7/28/2019,89,132
7/28/2020,98,134
7/29/2018,91,135
7/29/2019,88,132
7/29/2020,98,139
7/3/2019,89,132
7/3/2020,96,134
7/30/2018,93,136
7/30/2019,93,129
7/30/2020,97,135
7/31/2018,95,136
7/31/2019,92,130
7/31/2020,96,135
7/4/2019,88,130
7/4/2020,97,133
7/5/2019,88,128
7/5/2020,97,134
7/6/2019,89,130
7/6/2020,95,136
7/7/2019,90,129
7/7/2020,97,141
7/8/2019,89,130
7/8/2020,96,134
7/9/2019,88,131
7/9/2020,98,133
8/1/2018,92,136
8/1/2019,92,133
8/1/2020,98,135
8/10/2018,92,137
8/10/2019,94,132
8/10/2020,96,136
8/11/2018,93,135
8/11/2019,90,132
8/11/2020,101,135
8/12/2018,92,135
8/12/2019,91,132
8/12/2020,99,137
8/13/2018,93,135
8/13/2019,91,130
8/13/2020,101,138
8/14/2018,94,133
8/14/2019,90,132
8/14/2020,99,138
8/15/2018,91,136
8/15/2019,92,133
8/15/2020,99,137
8/16/2018,93,131
8/16/2019,92,133
8/16/2020,102,136
8/17/2018,94,137
8/17/2019,90,132
8/17/2020,104,137
8/18/2018,96,135
8/18/2019,91,130
8/18/2020,100,137
8/19/2018,92,135
8/19/2019,93,131
8/19/2020,98,160
8/2/2018,93,135
8/2/2019,92,132
8/2/2020,98,132
8/20/2018,96,135
8/20/2019,91,132
8/20/2020,99,137
8/21/2018,94,136
8/21/2019,91,133
8/21/2020,106,141
8/22/2018,93,135
8/22/2019,93,131
8/22/2020,100,139
8/23/2018,96,135
8/23/2020,103,143
8/24/2018,94,141
8/24/2019,90,131
8/24/2020,101,139
8/25/2018,96,136
8/25/2019,92,133
8/25/2020,103,146
8/26/2018,95,138
8/26/2019,91,135
8/26/2020,106,141
8/27/2018,96,135
8/27/2019,95,130
8/27/2020,103,141
8/28/2018,96,135
8/28/2019,91,133
8/28/2020,102,139
8/29/2018,94,139
8/29/2019,93,134
8/29/2020,104,142
8/3/2018,93,134
8/3/2019,93,130
8/3/2020,98,133
8/30/2018,95,137
8/30/2019,92,132
8/30/2020,106,138
8/31/2018,95,136
8/31/2019,98,131
8/31/2020,105,139
8/4/2018,92,137
8/4/2019,88,133
8/4/2020,96,135
8/5/2018,93,134
8/5/2019,93,130
8/5/2020,98,134
8/6/2018,94,136
8/6/2019,89,131
8/6/2020,98,138
8/7/2018,93,136
8/7/2019,90,133
8/7/2020,97,137
8/8/2018,95,134
8/8/2019,90,135
8/8/2020,100,140
8/9/2018,93,136
8/9/2019,90,131
8/9/2020,98,137
9/1/2018,95,141
9/1/2019,90,133
9/1/2020,105,143
9/10/2018,94,137
9/10/2019,94,131
9/10/2020,104,142
9/11/2018,93,136
9/11/2019,98,137
9/11/2020,103,142
9/12/2018,96,139
9/12/2019,95,136
9/13/2018,95,140
9/13/2019,96,140
9/13/2020,104,139
9/14/2018,95,135
9/14/2019,94,134
9/14/2020,101,141
9/15/2018,96,137
9/15/2019,95,133
9/15/2020,100,139
9/16/2018,92,137
9/16/2019,96,133
9/16/2020,103,137
9/17/2018,96,136
9/17/2019,94,134
9/17/2020,105,143
9/18/2018,93,137
9/18/2019,92,131
9/18/2020,101,138
9/19/2018,96,136
9/19/2019,97,133
9/19/2020,99,138
9/2/2018,94,137
9/2/2019,96,135
9/2/2020,104,142
9/20/2018,96,138
9/20/2019,94,135
9/20/2020,102,140
9/21/2018,94,138
9/21/2019,96,135
9/21/2020,100,133
9/22/2018,97,137
9/22/2019,94,135
9/22/2020,102,137
9/23/2018,94,137
9/23/2019,96,135
9/23/2020,99,138
9/24/2018,95,139
9/24/2019,96,136
9/24/2020,100,139
9/25/2018,97,138
9/25/2019,93,132
9/25/2020,100,139
9/26/2018,95,138
9/26/2019,95,134
9/27/2018,94,136
9/27/2019,94,136
9/27/2020,103,136
9/28/2018,94,136
9/28/2019,95,134
9/28/2020,102,137
9/29/2018,95,136
9/29/2019,96,134
9/29/2020,98,140
9/3/2018,95,139
9/3/2019,92,135
9/3/2020,104,143
9/30/2019,97,136
9/30/2020,104,140
9/4/2018,94,137
9/4/2019,94,133
9/4/2020,103,141
9/5/2018,95,138
9/5/2019,97,133
9/5/2020,105,140
9/6/2018,94,136
9/6/2019,92,134
9/6/2020,104,141
9/7/2018,94,136
9/7/2019,94,134
9/7/2020,104,136
9/8/2018,94,137
9/8/2019,93,131
9/8/2020,107,139
9/9/2018,94,144
9/9/2019,95,134
9/9/2020,107,139
